                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.60198,                0.29669,                0.77093,                0.85103,                0.74191,                0.82592,                0.57312,                0.78635,                0.36634,                0.79015,             0.00013625,             0.00013625,             0.00013625
                     92,                0.59308,                0.29281,                 0.7723,                0.95977,                 0.6746,                0.80957,                0.56342,                0.78468,                0.36428,                0.79162,             0.00012387,             0.00012387,             0.00012387
                     93,                0.59279,                0.28908,                0.77386,                0.90865,                0.70692,                0.82248,                0.57641,                0.78561,                0.36809,                0.79018,              0.0001115,              0.0001115,              0.0001115
                     94,                0.57822,                0.28612,                0.77156,                0.91629,                0.71505,                0.82529,                0.57511,                0.78195,                0.36688,                0.79085,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.57611,                0.28375,                0.76902,                0.92508,                0.72131,                0.82471,                0.57331,                 0.7702,                 0.3608,                0.79003,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.56652,                0.28157,                0.77103,                0.89645,                0.72545,                0.82668,                0.57124,                0.78122,                0.36521,                0.79042,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.56145,                0.27894,                0.76927,                0.91652,                0.73299,                0.83042,                0.57714,                0.77598,                0.35406,                0.79071,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 0.5511,                0.27409,                 0.7709,                0.91625,                0.74229,                 0.8317,                0.57905,                0.76842,                0.34865,                0.79014,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.56869,                0.27862,                0.76945,                0.91641,                0.73938,                0.83264,                0.57759,                0.76993,                0.35213,                 0.7898,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 0.5501,                0.27482,                0.76833,                0.91355,                0.72837,                 0.8256,                0.57833,                0.76823,                0.35833,                0.78959,             2.4875e-05,             2.4875e-05,             2.4875e-05
